       param  mean se_mean   sd 2.5%  25%  50%  75% 97.5% n_eff Rhat
var_ratio[62] 4.07    0.00 0.13 3.82 3.97 4.06 4.16  4.34  1000 1.00
sigma[1]      0.21    0.00 0.00 0.21 0.21 0.21 0.21  0.22  1000 1.00
sigma[2]      0.28    0.00 0.00 0.27 0.28 0.28 0.28  0.29  1000 1.00
sigma[3]      0.27    0.00 0.00 0.26 0.27 0.27 0.27  0.28  1000 1.00
sigma[4]      0.33    0.00 0.01 0.32 0.33 0.33 0.33  0.34  1000 1.00
sigma[5]      0.26    0.00 0.00 0.26 0.26 0.26 0.27  0.27  1000 1.00
sigma[6]      0.22    0.00 0.00 0.22 0.22 0.22 0.23  0.23  1000 1.00
sigma[7]      0.31    0.00 0.01 0.30 0.31 0.31 0.32  0.32  1000 1.00
sigma[8]      0.22    0.00 0.00 0.22 0.22 0.22 0.23  0.23  1000 1.00
sigma[9]      0.23    0.00 0.00 0.23 0.23 0.23 0.24  0.24  1000 1.00
sigma[10]     0.26    0.00 0.00 0.26 0.26 0.26 0.27  0.27  1000 1.00
sigma[11]     0.23    0.00 0.00 0.22 0.22 0.23 0.23  0.24  1000 1.00
sigma[12]     0.29    0.00 0.01 0.28 0.29 0.29 0.30  0.30  1000 1.00
sigma[13]     0.24    0.00 0.00 0.24 0.24 0.24 0.25  0.25  1000 1.00
sigma[14]     0.24    0.00 0.00 0.23 0.24 0.24 0.24  0.25  1000 1.00
sigma[15]     0.28    0.00 0.00 0.27 0.27 0.28 0.28  0.29  1000 1.00
sigma[16]     0.23    0.00 0.00 0.22 0.23 0.23 0.23  0.24  1000 1.00
sigma[17]     0.30    0.00 0.00 0.29 0.29 0.30 0.30  0.31  1000 1.00
sigma[18]     0.32    0.00 0.01 0.31 0.32 0.32 0.32  0.33  1000 1.00
sigma[19]     0.32    0.00 0.01 0.31 0.32 0.32 0.32  0.33  1000 1.00
sigma[20]     0.29    0.00 0.00 0.28 0.29 0.29 0.29  0.30  1000 1.01
sigma[21]     0.20    0.00 0.00 0.19 0.20 0.20 0.20  0.21  1000 1.00
sigma[22]     0.29    0.00 0.00 0.28 0.28 0.29 0.29  0.30  1000 1.00
sigma[23]     0.18    0.00 0.00 0.18 0.18 0.18 0.19  0.19  1000 1.00
sigma[24]     0.30    0.00 0.00 0.29 0.29 0.29 0.30  0.31  1000 1.00
sigma[25]     0.27    0.00 0.00 0.26 0.26 0.27 0.27  0.28  1000 1.00
sigma[26]     0.27    0.00 0.00 0.26 0.27 0.27 0.28  0.28  1000 1.00
sigma[27]     0.24    0.00 0.00 0.24 0.24 0.24 0.25  0.25  1000 1.00
sigma[28]     0.21    0.00 0.00 0.20 0.21 0.21 0.21  0.22  1000 1.00
sigma[29]     0.22    0.00 0.00 0.21 0.22 0.22 0.22  0.23  1000 1.00
sigma[30]     0.34    0.00 0.01 0.33 0.33 0.34 0.34  0.35  1000 1.00
sigma[31]     0.26    0.00 0.00 0.25 0.26 0.26 0.26  0.27  1000 1.00
sigma[32]     0.23    0.00 0.00 0.22 0.22 0.23 0.23  0.23  1000 1.00
sigma[33]     0.27    0.00 0.00 0.27 0.27 0.27 0.28  0.28  1000 1.00
sigma[34]     0.32    0.00 0.01 0.31 0.32 0.32 0.33  0.33  1000 1.00
sigma[35]     0.32    0.00 0.01 0.31 0.32 0.32 0.32  0.33  1000 1.00
sigma[36]     0.26    0.00 0.00 0.25 0.26 0.26 0.26  0.27  1000 1.00
sigma[37]     0.23    0.00 0.00 0.22 0.23 0.23 0.23  0.24  1000 1.00
sigma[38]     0.31    0.00 0.01 0.31 0.31 0.31 0.32  0.32  1000 1.00
