"","param","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","method","software"
"162","tau_0[38]",0.94,0,0.03,0.89,0.93,0.94,0.96,0.99,1000,1,"cross","ANTs"
"163","tau_0[39]",0.97,0,0.03,0.92,0.95,0.97,0.99,1.02,1000,1,"cross","ANTs"
"164","tau_0[40]",0.94,0,0.02,0.89,0.92,0.94,0.95,0.99,1000,1,"cross","ANTs"
"165","tau_0[41]",0.97,0,0.03,0.91,0.95,0.96,0.98,1.02,1000,1,"cross","ANTs"
"166","tau_0[42]",0.93,0,0.03,0.88,0.91,0.93,0.95,0.99,1000,1,"cross","ANTs"
"167","tau_0[43]",0.96,0,0.03,0.92,0.95,0.96,0.98,1.02,1000,1,"cross","ANTs"
"168","tau_0[44]",0.96,0,0.03,0.91,0.94,0.95,0.97,1.01,1000,1,"cross","ANTs"
"169","tau_0[45]",0.98,0,0.03,0.93,0.96,0.97,0.99,1.03,1000,1,"cross","ANTs"
"170","tau_0[46]",0.94,0,0.03,0.89,0.93,0.94,0.96,1,1000,1,"cross","ANTs"
"171","tau_0[47]",0.95,0,0.03,0.9,0.93,0.95,0.97,1.01,1000,1,"cross","ANTs"
"172","tau_0[48]",0.95,0,0.03,0.9,0.93,0.95,0.97,1,1000,1,"cross","ANTs"
"173","tau_0[49]",0.96,0,0.03,0.91,0.94,0.95,0.97,1.01,1000,1,"cross","ANTs"
"174","tau_0[50]",0.93,0,0.03,0.88,0.91,0.93,0.95,0.98,1000,1.01,"cross","ANTs"
"175","tau_0[51]",0.93,0,0.03,0.88,0.92,0.93,0.95,0.99,1000,1,"cross","ANTs"
"176","tau_0[52]",0.99,0,0.03,0.93,0.97,0.98,1,1.05,1000,1,"cross","ANTs"
"177","tau_0[53]",0.93,0,0.03,0.88,0.92,0.93,0.95,0.99,1000,1,"cross","ANTs"
"178","tau_0[54]",0.97,0,0.03,0.92,0.95,0.97,0.99,1.02,1000,1,"cross","ANTs"
"179","tau_0[55]",0.97,0,0.03,0.92,0.95,0.97,0.99,1.02,1000,1,"cross","ANTs"
"180","tau_0[56]",0.95,0,0.03,0.91,0.94,0.95,0.97,1,1000,1,"cross","ANTs"
"181","tau_0[57]",0.95,0,0.03,0.9,0.93,0.95,0.97,1,1000,1,"cross","ANTs"
"182","tau_0[58]",0.95,0,0.03,0.9,0.93,0.95,0.97,1,1000,1,"cross","ANTs"
"183","tau_0[59]",0.97,0,0.03,0.91,0.95,0.97,0.98,1.02,1000,1,"cross","ANTs"
"184","tau_0[60]",0.94,0,0.03,0.89,0.92,0.94,0.96,1,1000,1,"cross","ANTs"
"185","tau_0[61]",0.92,0,0.03,0.87,0.9,0.92,0.93,0.96,1000,1,"cross","ANTs"
"186","tau_0[62]",0.99,0,0.03,0.94,0.97,0.99,1.01,1.04,1000,1,"cross","ANTs"
"187","var_ratio[1]",4.67,0,0.16,4.36,4.56,4.67,4.78,4.99,1000,1,"long1","ANTs"
"188","var_ratio[2]",3.49,0,0.12,3.27,3.4,3.49,3.57,3.73,1000,1,"long1","ANTs"
"189","var_ratio[3]",3.63,0,0.12,3.42,3.56,3.63,3.71,3.87,1000,1,"long1","ANTs"
"190","var_ratio[4]",2.84,0,0.09,2.67,2.78,2.84,2.9,3.02,1000,1,"long1","ANTs"
"191","var_ratio[5]",3.71,0,0.12,3.49,3.62,3.71,3.79,3.95,1000,1,"long1","ANTs"
"192","var_ratio[6]",4.43,0,0.15,4.14,4.33,4.42,4.53,4.73,1000,1,"long1","ANTs"
"193","var_ratio[7]",3.07,0,0.1,2.87,3,3.07,3.14,3.28,1000,1,"long1","ANTs"
"194","var_ratio[8]",4.43,0,0.14,4.17,4.33,4.43,4.53,4.72,1000,1,"long1","ANTs"
"195","var_ratio[9]",4.23,0,0.14,3.96,4.14,4.23,4.33,4.51,1000,1,"long1","ANTs"
"196","var_ratio[10]",3.69,0,0.12,3.46,3.61,3.69,3.77,3.92,1000,1,"long1","ANTs"
"197","var_ratio[11]",4.42,0,0.14,4.16,4.32,4.41,4.52,4.7,1000,1,"long1","ANTs"
"198","var_ratio[12]",3.29,0,0.12,3.07,3.21,3.29,3.37,3.52,1000,1,"long1","ANTs"
"199","var_ratio[13]",4.07,0,0.14,3.8,3.98,4.07,4.17,4.35,1000,1,"long1","ANTs"
"200","var_ratio[14]",4.15,0,0.13,3.9,4.06,4.15,4.25,4.43,1000,1,"long1","ANTs"
"201","var_ratio[15]",3.47,0,0.11,3.24,3.39,3.47,3.55,3.69,1000,1,"long1","ANTs"
